Block,Total FTO Generated,No. of Signed FTO(Ist Signatory),No. of FTO Pending(Ist Signatory),No. of Signed FTO(2nd Signatory),No. of FTO Pending(2nd Signatory),No. of Signed FTO(FTO sent to Bank/PFMS),No. of Transaction(FTO sent to Bank/PFMS),No. of Transaction Processed(Response from Bank/PFMS),No. of Invalid Account(Response from Bank/PFMS),No. of transaction Rejected(Response from Bank/PFMS),Total Transactions(Response from Bank/PFMS)
BOARIJORE,2061,2061,0,2061,0,2061,140332,2061,140332,0,0,0,0,0,139557,0,775,140332
PATHERGAMA,2044,2043,1,2038,5,2038,81594,2038,81594,0,0,0,0,0,81231,0,363,81594
GODDA,2886,2884,2,2858,26,2858,88773,2858,88773,0,0,0,0,0,88431,0,342,88773
MEHARMA,2608,2608,0,2608,0,2608,142641,2608,142641,0,0,0,0,0,141824,0,817,142641
MAHAGAMA,2882,2882,0,2878,4,2878,82195,2878,82195,0,0,0,0,0,82029,0,166,82195
THAKURGANGTI,2457,2457,0,2457,0,2457,227859,2457,227859,0,0,0,0,0,227262,0,597,227859
SUNDERPAHARI,1944,1944,0,1943,1,1943,101436,1943,101436,0,0,0,0,0,100345,0,1091,101436
PORAIYAHAT,3986,3986,0,3982,4,3982,126379,3982,126379,0,0,0,0,0,125629,0,750,126379
BASANTRAY,1867,1867,0,1864,3,1864,69105,1864,69105,0,0,0,0,0,68859,0,246,69105
